read,title,author,tags,rating,date
1,cityboy,anderson,fun,,
1,think and grow rich,hill,self-help,,
1,the tipping point,gladwell,psychologie,,
1,la route de los angeles,fante,roman,,
1,le joueur d'échecs,zweig,roman,,
1,madame bovary,flaubert,roman,,
1,la femme de trente ans,balzac,roman,,
1,sa majesté des mouches,golding,roman,,
1,i hope they serve beer in hell,max,fun,,
1,le loup des mers,london,roman,,
1,candide ou l'optimisme,voltaire,roman,,
1,histoire de la franc-maçonneire française,dachez,histoire,,
1,la femme parfaite est une connasse,girard,fun,,
1,"père manquant, fils manqué",corneau,psychologie,,
1,petit déjeuner chez tiffany,capote,roman,,
1,l'amour dure trois ans,beigbeder,roman,,
1,l'étranger,camus,roman,,
1,la métamorphose,kafka,roman,,
1,junky,burroughs,roman,,
1,note sur la suppression générale des partis politiques,Weil,essai,,
1,mémoires d'un jeune homme dérangé,beigbeder,roman,,
1,comment se faire des amis,carnegie,psychologie,,
1,bobos in paradise,brooks,sociologie,,
1,voyages en absurdie,de groodt,fun,,
1,une colère noire,coates,sociologie,,
1,sam dodsworth,lewis,roman,,
1,bonjour tristesse,sagan,roman,,
1,chéri,colette,roman,,
1,évariste,désérable,biographie,,
1,mes parents font des sms,hattab,fun,,
1,le banquet,platon,philosophie,,
1,hell,pille,roman,,
1,le portrait de dorian gray,wilde,roman,,
1,le ragoût du septuagénaire,bukowski,roman,,
1,contes de la folie ordinaire,bukowski,roman,,
1,le capitaire est parti déjeuner et les marins se sont emparés du bâteau,bukowski,roman,,
1,au sud de nulle part,bukowski,roman,,
1,factotum,bukowski,roman,,
1,journal d'un vieux dégueulasse,bukowski,roman,,
1,women,bukowski,roman,,
1,sur la route,kerouac,roman,,
1,le prince,machiavel,politique,,
1,corporate,tran,roman,,
1,babbitt,lewis,roman,,
1,mort aux cons,aderhold,roman,,
1,l'homme qui voulait vivre sa vie,kennedy,roman,,
1,quand souffle le vent du nord,glattauer,roman,,
1,souvenirs d'un pas grand chose,bukowski,roman,,
1,le postier,bukowski,roman,,
1,bel-ami,maupassant,roman,,
1,l'attrape-coeurs,salinger,roman,,
0,roméo et juliette,shakespeare,théâtre,,
0,macbeth,shakespeare,théâtre,,
0,hamlet,shakespeare,théâtre,,
0,le roi lear,shakespeare,théâtre,,
1,othello,shakespeare,théâtre,,
0,ainsi parlait zarathoustra,Nietzsche,philosophie,,
0,lettres à lucilius,sénèque,philosophie,,
0,Paris,le routard,voyages,,
1,journal d'un raté,limonov,roman,,
0,the autobiography of benjamin franklin,franklin,biographie,,
0,high heals and dirty deals,tate,fun,,
1,théorème vivant,villani,biographie,,
1,la grève,rand,roman,,
1,survival of the prettiest,etcoff,sociologie,,
0,l'immobilier pour les nuls,pour les nuls,pour les nuls,,
0,le whisky pour les nuls,pour les nuls,pour les nuls,,
1,Strengthsfinder,rath,psychologie,,
0,psychologie des foules,le bon,psychologie,,
1,the element,robinson,psychologie,,
1,the top 10 distinctions between millionaires and the middle class,smith,self-help,,
1,so good they can't ignore you,newport,self-help,,
1,long distance,mckibben,biographie,,
1,six degrees,watts,science,,
0,fifty challenging problems in probability with solutions,mosteller,maths,,
0,micromotives and macrobehavior,schelling,science,,
1,finding your element,robinson,psychologie,,
1,i think therefore i play,pirlo,biographie,,
0,mémoires d'un perfectionniste,Wilkinson,biographie,,
0,the magic of thinking big,Schwartz,self-help,,
1,big data,mayer-schönberger,psychologie positive,,
1,comment être trop cool,reade,fun,,
1,pourquoi j'ai mangé mon père,lewis,roman,,
1,l'apprentissage du bonheur,ben-shahar,psychologie positive,,
1,the beggar maid,munro,roman,,
1,younger next year,crowley,santé,,
1,le poison d'amour,schmitt,roman,,
0,la sérénité de l'instant,hanh,psychologie positive,,
1,the game,strauss,séduction,,
1,delivering happiness,hsieh,psychologie positive,,
0,petit larousse de la philosophie,larousse,philosophie,,
0,le problème spinoza,yalom,roman,,
1,la fortune des rougon,zola,roman,,
1,l'apprentissage de l'imperfection,ben-shahar,psychologie positive,,
1,trop gentil pour être heureux,glover,psychologie positive,,
0,pourquoi les hommes se grattent l'oreille et les femmes tournent leur alliance ?,pease,psychologie,,
1,alcibiade,platon,philosophie,,
0,nexus,miller,roman,,
0,plexus,miller,roman,,
0,sexus,miller,roman,,
0,philosophie de l'argent,simmel,philosophie,,
0,l'homme neuronal,changeux,philosophie,,
1,the richest man in babylon,clason,self-help,,
1,drive,pink,psychologie,,
0,confessions of a publick speaker,berkun,self-help,,
1,authentic happiness,seligman,psychologie positive,,
1,the millionnaire next door,danko,psychologie positive,,
1,paris pour les hommes,richard,guide,,
0,hackers,levy,sociologie,,
1,the path to purpose,damon,psychologie positive,,
0,a game of thrones,martin,fantasy,,
0,a clash of kings,martin,fantasy,,
0,a storm of swords,martin,fantasy,,
0,a feast of crows,martin,fantasy,,
0,a dance with dragons,martin,fantasy,,
1,fischer black and the revolutionary idea of finance,mehrling,biographie,,
1,zero to one,thiel,startup,,
1,the obstacle is the way,holiday,philosophie,,
1,girlboss,amoruso,biographie,,
1,l'art de la guerre,tzu,politique,,
0,la faim,hamsun,roman,,
1,l'avare,molière,théâtre,,
0,la confiance en soi,emerson,philosophie,,
1,the miracle morning,elrod,self-help,,
0,le mythe de sisyphe,camus,roman,,
0,portnoy et son complexe,roth,roman,,
0,1984,orwell,roman,,
0,voyage au bout de la nuit,céline,roman,,
1,pulp,bukowski,roman,,
1,tendre est la nuit,fitzgerald,roman,,
1,gatsby le magnifique,fitzgerald,roman,,
1,les liaisons dangereuses,laclos,roman,,
1,le démon,selby,roman,,
1,respire,brasme,roman,,
0,arrowsmith,lewis,roman,,
0,les frères karamazov,dostoïevski,roman,,
1,avec les damnés,bukowski,roman,,
1,fahrenheit 451,bradbury,roman,,
1,le meilleur des mondes,huxley,roman,,
1,le cycle des robots 1 les robots,asimov,sci-fi,,
1,"la probabilité, le hasard et la certitude",deheuvels,science,,
1,un roman français,beigbeder,roman,,
1,demande à la poussière,fante,roman,,
